"pr_id","billno","entry_id","material_number","material_name","material_type","qty","unit","biztime","plant","buyer","srcbillid","created_date","status"
PRID-000146,PR-202605-0146,PRID-000146-1,COMP-BAT-MOUNT,电池固定架,自制,648.0,套,"2026-05-03",P2,周宁,MRP-202605-0163,"2026-05-03",已审核
PRID-000147,PR-202605-0147,PRID-000147-1,PART-MCU-STM32H753,STM32H753双核芯片,外购,648.0,颗,"2026-05-02",P3,陈璐,MRP-202605-0164,"2026-05-02",已审核
PRID-000148,PR-202605-0148,PRID-000148-1,PART-PCB-FC-8L,"8层飞控PCB板",外购,570.0,块,"2026-05-03",P1,李航,MRP-202605-0165,"2026-05-03",已下达
PRID-000149,PR-202605-0149,PRID-000149-1,PART-FPGA-ICE40,ICE40 FPGA,外购,600.0,颗,"2026-05-01",P2,周宁,MRP-202605-0166,"2026-05-01",已审核
PRID-000150,PR-202605-0150,PRID-000150-1,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,外购,2400.0,个,"2026-05-02",P3,陈璐,MRP-202605-0167,"2026-05-02",已审核
PRID-000151,PR-202605-0151,PRID-000151-1,RAW-NEODYMIUM,钕铁硼磁性材料,外购,162.0,千克,"2026-05-03",P1,李航,MRP-202605-0168,"2026-05-03",已审核
PRID-000152,PR-202605-0152,PRID-000152-1,RAW-COPPER-WIRE,铜漆包线,外购,540.0,千克,"2026-05-01",P2,周宁,MRP-202605-0169,"2026-05-01",已审核
PRID-000153,PR-202605-0153,PRID-000153-1,RAW-AL-ALLOY,铝合金材料,外购,900.0,千克,"2026-05-03",P3,陈璐,MRP-202605-0170,"2026-05-03",已审核
PRID-000154,PR-202605-0154,PRID-000154-1,RAW-LIPO-CELL,锂聚合物电芯,外购,399.0,千克,"2026-05-01",P1,李航,MRP-202605-0171,"2026-05-01",已审核
PRID-000155,PR-202605-0155,PRID-000155-1,PART-PCB-2L,"2层PCB板",外购,600.0,块,"2026-05-03",P2,周宁,MRP-202605-0172,"2026-05-03",已下达
PRID-000156,PR-202605-0156,PRID-000156-1,PART-MOSFET-DUAL,双路MOSFET,外购,1200.0,颗,"2026-05-02",P3,陈璐,MRP-202605-0173,"2026-05-02",已审核
PRID-000157,PR-202605-0157,PRID-000157-1,PART-MCU-STM32F103,STM32F103控制芯片,外购,570.0,颗,"2026-05-02",P1,李航,MRP-202605-0174,"2026-05-02",已审核
PRID-000158,PR-202605-0158,PRID-000158-1,RAW-SI-WAFER-12IN,"12英寸硅晶圆",外购,1.0,片,"2026-05-01",P2,周宁,MRP-202605-0175,"2026-05-01",已审核
PRID-000159,PR-202605-0159,PRID-000159-1,RAW-FR4-CCL,FR4覆铜板,外购,48.0,平米,"2026-05-01",P3,陈璐,MRP-202605-0176,"2026-05-01",已审核
PRID-000160,PR-202509-0160,PRID-000160-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,68.0,套,"2025-09-24",P2,周宁,MRP-202509-0177,"2025-09-24",已审核
PRID-000161,PR-202509-0161,PRID-000161-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,30.0,套,"2025-09-23",P3,陈璐,MRP-202509-0178,"2025-09-23",已审核
PRID-000162,PR-202509-0162,PRID-000162-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,30.0,套,"2025-09-25",P1,李航,MRP-202509-0179,"2025-09-25",已审核
PRID-000163,PR-202509-0163,PRID-000163-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,119.0,套,"2025-09-24",P2,周宁,MRP-202509-0180,"2025-09-24",已下达
PRID-000164,PR-202509-0164,PRID-000164-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,39.0,套,"2025-09-23",P3,陈璐,MRP-202509-0181,"2025-09-23",已审核
PRID-000165,PR-202509-0165,PRID-000165-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,56.0,套,"2025-09-25",P1,李航,MRP-202509-0182,"2025-09-25",已审核
PRID-000166,PR-202509-0166,PRID-000166-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,99.0,套,"2025-09-24",P2,周宁,MRP-202509-0183,"2025-09-24",已审核
PRID-000167,PR-202509-0167,PRID-000167-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,49.0,套,"2025-09-23",P3,陈璐,MRP-202509-0184,"2025-09-23",已下达
PRID-000168,PR-202509-0168,PRID-000168-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,59.0,套,"2025-09-25",P1,李航,MRP-202509-0185,"2025-09-25",已审核
PRID-000169,PR-202509-0169,PRID-000169-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,107.0,套,"2025-09-24",P2,周宁,MRP-202509-0186,"2025-09-24",已审核
PRID-000170,PR-202509-0170,PRID-000170-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,77.0,套,"2025-09-23",P3,陈璐,MRP-202509-0187,"2025-09-23",已审核
PRID-000171,PR-202509-0171,PRID-000171-1,ASSY-FC-RTK,RTK高精度飞控总成,组件,65.0,套,"2025-09-25",P1,李航,MRP-202509-0188,"2025-09-25",已下达
