"material_requisition_id","requisition_number","requisition_type","material_id","material_code","material_name","warehouse_id","factory_id","requested_quantity","issued_quantity","unit","requisition_date","issue_date","production_order_number","purpose","status","created_date"
MR-AUTO-0100,REQ-MO-202604-0094-04,生产领料,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,WH004,FAC003,1124.0,1124.0,个,"2026-03-31","2026-04-02",MO-202604-0094,生产RTK飞控主板,已发料,"2026-03-30"
MR-AUTO-0101,REQ-MO-202604-0095-01,生产领料,M0072,COMP-FC-PCB-R1,RTK飞控主板,WH004,FAC003,380.0,380.0,块,"2026-04-02","2026-04-04",MO-202604-0095,生产RTK高精度飞控总成,已发料,"2026-04-01"
MR-AUTO-0102,REQ-MO-202604-0095-02,生产领料,M0073,PART-IMU-ADIS16505,ADIS16505工业级IMU,WH004,FAC003,380.0,380.0,个,"2026-04-02","2026-04-04",MO-202604-0095,生产RTK高精度飞控总成,已发料,"2026-04-01"
MR-AUTO-0103,REQ-MO-202604-0095-03,生产领料,M0074,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,WH004,FAC003,380.0,380.0,个,"2026-04-02","2026-04-04",MO-202604-0095,生产RTK高精度飞控总成,已发料,"2026-04-01"
MR-AUTO-0104,REQ-MO-202604-0095-04,生产领料,M0075,PART-4G-MODULE,"4G通信模块",WH004,FAC003,380.0,380.0,个,"2026-04-02","2026-04-04",MO-202604-0095,生产RTK高精度飞控总成,已发料,"2026-04-01"
MR-AUTO-0105,REQ-MO-202604-0095-05,生产领料,M0076,COMP-FC-CASE-AL-IND,工业级铝合金外壳,WH004,FAC003,380.0,380.0,套,"2026-04-02","2026-04-04",MO-202604-0095,生产RTK高精度飞控总成,已发料,"2026-04-01"
MR-AUTO-0106,REQ-MO-202604-0096-01,生产领料,M0055,COMP-ARM-CF-TUBE-HD,加强型碳纤维机臂,WH004,FAC002,1444.0,653.4,根,"2026-03-31","",MO-202604-0096,生产加强型碳纤维机臂,部分发料,"2026-03-30"
MR-AUTO-0107,REQ-MO-202604-0097-01,生产领料,M0056,COMP-MOTOR-MOUNT-AL-HD,重载铝合金电机座,WH004,FAC004,1444.0,1444.0,个,"2026-04-01","2026-04-03",MO-202604-0097,生产重载铝合金电机座,已发料,"2026-03-31"
MR-AUTO-0109,REQ-MO-202604-0099-01,生产领料,M0108,PART-MCU-STM32H753,STM32H753双核芯片,WH004,FAC003,361.0,237.8,颗,"2026-04-02","",MO-202604-0099,生产RTK飞控主板,部分发料,"2026-04-01"
MR-AUTO-0110,REQ-MO-202604-0099-02,生产领料,M0109,PART-PCB-FC-8L,"8层飞控PCB板",WH004,FAC003,361.0,250.7,块,"2026-04-02","",MO-202604-0099,生产RTK飞控主板,部分发料,"2026-04-01"
MR-AUTO-0111,REQ-MO-202604-0099-03,生产领料,M0110,PART-FPGA-ICE40,ICE40 FPGA,WH004,FAC003,361.0,238.8,颗,"2026-04-02","",MO-202604-0099,生产RTK飞控主板,部分发料,"2026-04-01"
MR-AUTO-0112,REQ-MO-202604-0099-04,生产领料,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,WH004,FAC003,1444.0,730.2,个,"2026-04-02","",MO-202604-0099,生产RTK飞控主板,部分发料,"2026-04-01"
MR-AUTO-0113,REQ-MO-202604-0100-01,生产领料,M0116,PART-PCB-2L,"2层PCB板",WH004,FAC005,410.0,410.0,块,"2026-04-02","2026-04-04",MO-202604-0100,生产双电池管理模块,已发料,"2026-04-01"
MR-AUTO-0114,REQ-MO-202604-0100-02,生产领料,M0117,PART-MOSFET-DUAL,双路MOSFET,WH004,FAC005,820.0,820.0,颗,"2026-04-02","2026-04-04",MO-202604-0100,生产双电池管理模块,已发料,"2026-04-01"
MR-AUTO-0115,REQ-MO-202604-0100-03,生产领料,M0118,PART-MCU-STM32F103,STM32F103控制芯片,WH004,FAC005,410.0,410.0,颗,"2026-04-02","2026-04-04",MO-202604-0100,生产双电池管理模块,已发料,"2026-04-01"
MR-AUTO-0117,REQ-MO-202605-0102-01,生产领料,M0116,PART-PCB-2L,"2层PCB板",WH004,FAC005,648.0,648.0,块,"2026-05-02","2026-05-04",MO-202605-0102,生产双电池管理模块,已发料,"2026-05-01"
MR-AUTO-0118,REQ-MO-202605-0102-02,生产领料,M0117,PART-MOSFET-DUAL,双路MOSFET,WH004,FAC005,1296.0,1296.0,颗,"2026-05-02","2026-05-04",MO-202605-0102,生产双电池管理模块,已发料,"2026-05-01"
MR-AUTO-0119,REQ-MO-202605-0102-03,生产领料,M0118,PART-MCU-STM32F103,STM32F103控制芯片,WH004,FAC005,648.0,648.0,颗,"2026-05-02","2026-05-04",MO-202605-0102,生产双电池管理模块,已发料,"2026-05-01"
MR-AUTO-0124,REQ-MO-202501-202305012-01,半成品领取,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH001,FAC001,6.0,6.0,套,"2025-01-07","2025-01-08",MO-202501-202305012,生产UAV-XF-PRO-B,已发料,"2025-01-06"
MR-AUTO-0125,REQ-MO-202501-202305012-02,半成品领取,M0011,ASSY-FC-ADV,高级飞控总成,WH001,FAC001,6.0,6.0,套,"2025-01-07","2025-01-08",MO-202501-202305012,生产UAV-XF-PRO-B,已发料,"2025-01-06"
MR-AUTO-0126,REQ-MO-202501-202305012-03,半成品领取,M0017,PART-CAM-ZOOM,变焦相机模组,WH001,FAC001,6.0,6.0,套,"2025-01-07","2025-01-08",MO-202501-202305012,生产UAV-XF-PRO-B,已发料,"2025-01-06"
MR-AUTO-0127,REQ-MO-202501-202305012-04,半成品领取,M0013,ASSY-PWR-EFF,高效动力系统总成,WH001,FAC001,6.0,6.0,套,"2025-01-07","2025-01-08",MO-202501-202305012,生产UAV-XF-PRO-B,已发料,"2025-01-06"
MR-AUTO-0128,REQ-MO-202501-202305013-01,半成品领取,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH001,FAC001,5.0,5.0,套,"2025-01-08","2025-01-09",MO-202501-202305013,生产UAV-JF-ENT-SV,已发料,"2025-01-07"
MR-AUTO-0129,REQ-MO-202501-202305013-02,半成品领取,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH001,FAC001,5.0,5.0,套,"2025-01-08","2025-01-09",MO-202501-202305013,生产UAV-JF-ENT-SV,已发料,"2025-01-07"
MR-AUTO-0130,REQ-MO-202501-202305013-03,半成品领取,M0028,PART-CAM-SURVEY-42MP,"4200万像素测绘相机",WH001,FAC001,5.0,5.0,套,"2025-01-08","2025-01-09",MO-202501-202305013,生产UAV-JF-ENT-SV,已发料,"2025-01-07"
MR-AUTO-0131,REQ-MO-202501-202305013-04,半成品领取,M0013,ASSY-PWR-EFF,高效动力系统总成,WH001,FAC001,5.0,5.0,套,"2025-01-08","2025-01-09",MO-202501-202305013,生产UAV-JF-ENT-SV,已发料,"2025-01-07"
MR-AUTO-0132,REQ-MO-202501-202305014-01,半成品领取,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH001,FAC001,15.0,15.0,套,"2025-01-05","2025-01-06",MO-202501-202305014,生产UAV-XF-PRO-A,部分发料,"2025-01-04"
MR-AUTO-0133,REQ-MO-202501-202305014-02,半成品领取,M0011,ASSY-FC-ADV,高级飞控总成,WH001,FAC001,15.0,15.0,套,"2025-01-05","2025-01-06",MO-202501-202305014,生产UAV-XF-PRO-A,部分发料,"2025-01-04"
MR-AUTO-0134,REQ-MO-202501-202305014-03,半成品领取,M0012,PART-CAM-GIMBAL-1INCH,"1英寸三轴云台相机",WH001,FAC001,15.0,15.0,套,"2025-01-05","2025-01-06",MO-202501-202305014,生产UAV-XF-PRO-A,部分发料,"2025-01-04"
MR-AUTO-0135,REQ-MO-202501-202305014-04,半成品领取,M0013,ASSY-PWR-EFF,高效动力系统总成,WH001,FAC001,15.0,15.0,套,"2025-01-05","2025-01-06",MO-202501-202305014,生产UAV-XF-PRO-A,部分发料,"2025-01-04"
MR-AUTO-0140,REQ-MO-202501-202305016-01,半成品领取,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH001,FAC001,8.0,8.0,套,"2025-01-08","2025-01-09",MO-202501-202305016,生产UAV-JF-ENT-AG,已发料,"2025-01-07"
MR-AUTO-0141,REQ-MO-202501-202305016-02,半成品领取,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH001,FAC001,8.0,8.0,套,"2025-01-08","2025-01-09",MO-202501-202305016,生产UAV-JF-ENT-AG,已发料,"2025-01-07"
MR-AUTO-0142,REQ-MO-202501-202305016-03,半成品领取,M0022,PART-CAM-FPV,FPV图传相机,WH001,FAC001,8.0,8.0,个,"2025-01-08","2025-01-09",MO-202501-202305016,生产UAV-JF-ENT-AG,已发料,"2025-01-07"
MR-AUTO-0143,REQ-MO-202501-202305016-04,半成品领取,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH001,FAC001,8.0,8.0,套,"2025-01-08","2025-01-09",MO-202501-202305016,生产UAV-JF-ENT-AG,已发料,"2025-01-07"
MR-COMP-0001,REQ-MO202305001-M0001,部件领取,M0042,COMP-FRAME-PLA,塑料机身框架,WH002,FAC001,1127.0,1127.0,个,"2026-03-31","2026-04-02",MO-202305001,生产M0001,已发料,"2026-03-30"
MR-COMP-0002,REQ-MO202305001-M0001,部件领取,M0043,COMP-COVER-PLA-UP,塑料上盖,WH002,FAC001,1127.0,1127.0,个,"2026-03-31","2026-04-02",MO-202305001,生产M0001,已发料,"2026-03-30"
MR-COMP-0003,REQ-MO202305001-M0001,部件领取,M0044,COMP-COVER-PLA-DN,塑料下盖,WH002,FAC001,1127.0,1127.0,个,"2026-03-31","2026-04-02",MO-202305001,生产M0001,已发料,"2026-03-30"
MR-COMP-0004,REQ-MO202305001-M0001,部件领取,M0045,COMP-LG-PLA,塑料起落架,WH002,FAC001,4508.0,4508.0,个,"2026-03-31","2026-04-02",MO-202305001,生产M0001,已发料,"2026-03-30"
MR-COMP-0005,REQ-MO202305001-M0002,部件领取,M0060,COMP-FC-PCB-B1,基础飞控主板,WH002,FAC001,1127.0,1127.0,块,"2026-03-31","2026-04-02",MO-202305001,生产M0002,已发料,"2026-03-30"
MR-COMP-0006,REQ-MO202305001-M0002,部件领取,M0061,PART-IMU-MPU6050,MPU6050六轴传感器,WH002,FAC001,1127.0,1127.0,颗,"2026-03-31","2026-04-02",MO-202305001,生产M0002,已发料,"2026-03-30"
MR-COMP-0007,REQ-MO202305001-M0002,部件领取,M0062,PART-BARO-MS5611,MS5611气压计,WH002,FAC001,1127.0,1127.0,颗,"2026-03-31","2026-04-02",MO-202305001,生产M0002,已发料,"2026-03-30"
MR-COMP-0008,REQ-MO202305002-M0001,部件领取,M0042,COMP-FRAME-PLA,塑料机身框架,WH002,FAC001,1179.0,1179.0,个,"2026-03-31","2026-04-02",MO-202305002,生产M0001,已发料,"2026-03-30"
MR-COMP-0009,REQ-MO202305002-M0001,部件领取,M0043,COMP-COVER-PLA-UP,塑料上盖,WH002,FAC001,1179.0,1179.0,个,"2026-03-31","2026-04-02",MO-202305002,生产M0001,已发料,"2026-03-30"
MR-COMP-0010,REQ-MO202305002-M0002,部件领取,M0060,COMP-FC-PCB-B1,基础飞控主板,WH002,FAC001,1179.0,1179.0,块,"2026-03-31","2026-04-02",MO-202305002,生产M0002,已发料,"2026-03-30"
MR-COMP-0011,REQ-MO202305003-M0010,部件领取,M0048,COMP-FRAME-CF,碳纤维机身框架,WH002,FAC001,457.0,457.0,个,"2026-03-31","2026-04-02",MO-202305003,生产M0010,已发料,"2026-03-30"
MR-COMP-0012,REQ-MO202305003-M0010,部件领取,M0049,COMP-ARM-CF-TUBE,碳纤维机臂管,WH002,FAC001,1828.0,1828.0,根,"2026-03-31","2026-04-02",MO-202305003,生产M0010,已发料,"2026-03-30"
MR-COMP-0013,REQ-MO202305003-M0011,部件领取,M0066,COMP-FC-PCB-A1,高级飞控主板,WH002,FAC001,457.0,457.0,块,"2026-03-31","2026-04-02",MO-202305003,生产M0011,已发料,"2026-03-30"
